Algorithm,Group Size,Message Size,Encryption Time (ms),Decryption Time (ms),CPU Usage (%),Memory Usage (%),Message Overhead (bytes),Total Time (ms)
AES-GCM,100,128,3.529534093,8.413458068,49.85,0.020656586,3168,60.07920799
AES-GCM,100,128,4.018379026,9.292297182,49.85,0.020656586,3168,65.65374997
AES-GCM,100,128,3.877097392,9.212293895,49.85,0.020656586,3168,65.59783401
AES-GCM,100,128,4.033414065,9.14662733,49.65,0.020656586,3168,65.53920801
AES-GCM,100,128,3.766039095,8.662048029,49.8,0.020656586,3168,62.11962504
AES-GCM,100,128,3.578662931,8.430204703,49.8,0.020656586,3168,60.34408399
AES-GCM,100,1024,6.619964202,11.70254516,49.9,0.023220062,3168,70.96429204
AES-GCM,100,1024,6.013005681,10.40750463,49.9,0.023220062,3168,63.36237502
AES-GCM,100,1024,6.081252825,10.73096012,49.85,0.023220062,3168,65.38262498
AES-GCM,100,1024,6.752084533,11.78808342,49.9,0.023220062,3168,71.28566597
AES-GCM,100,1024,6.001619331,11.02117077,49.5,0.023220062,3168,64.37345903
AES-GCM,100,1024,6.558875088,11.6511638,49.9,0.023220062,3168,69.344958
AES-GCM,100,1024,6.200332486,10.65966429,49.65,0.023220062,3168,66.47429103
AES-GCM,100,1024,6.005087402,10.07741509,49.55,0.023220062,3168,61.68845796
AES-GCM,100,1024,6.026287854,10.56253695,49.8,0.023220062,3168,63.55487497
AES-GCM,100,1024,6.217710266,11.02366799,49.4,0.023220062,3168,66.42145896
AES-GCM,100,10240,19.75795429,22.9247536,49.9,0.057394981,3168,92.45720797
AES-GCM,100,10240,20.22425213,23.4246258,49.95,0.057394981,3168,94.58879195
AES-GCM,100,10240,19.54329567,23.23320863,49.5,0.057394981,3168,93.05979201
AES-GCM,100,10240,18.58062448,22.31688023,47.5,0.057394981,3168,90.415666
AES-GCM,100,10240,19.96433089,23.38766929,49.95,0.057394981,3168,91.71066701
AES-GCM,100,10240,19.18041537,22.59562985,49.85,0.057394981,3168,88.66937499
AES-GCM,100,10240,19.12423957,22.90249465,49.95,0.057394981,3168,89.26924999
AES-GCM,100,10240,19.51462199,22.4948742,48.45,0.057394981,3168,86.90658299
AES-GCM,100,10240,21.04570105,25.21125495,49.9,0.057394981,3168,92.40495804
AES-GCM,100,10240,18.46704033,21.64299774,49.85,0.057394981,3168,87.18679199
AES-GCM,1000,128,15.01860231,36.76959849,49.95,0.25644207,31968,270.845583
AES-GCM,1000,128,14.83475859,35.75710877,49.6,0.16298008,31968,256.59075
AES-GCM,1000,128,14.63810029,35.22399114,49.85,0.16298008,31968,253.199791
AES-GCM,1000,128,14.93984112,35.67754012,49.95,0.16298008,31968,257.8775
AES-GCM,1000,128,14.68791877,35.10213032,49.95,0.16298008,31968,254.495791
AES-GCM,1000,128,14.57198645,35.0471799,49.95,0.16298008,31968,253.156959
AES-GCM,1000,128,14.49238899,35.07925675,49.95,0.16298008,31968,252.351542
AES-GCM,1000,128,14.72159463,35.51539534,49.95,0.16298008,31968,255.686875
AES-GCM,1000,128,14.58594389,34.66588247,49.9,0.16298008,31968,250.9405
AES-GCM,1000,128,13.67882441,32.6657847,49.85,0.16298008,31968,236.08
AES-GCM,1000,1024,24.3721602,42.84260282,49.95,0.165543556,31968,257.288166
AES-GCM,1000,1024,26.218471,46.49446922,49.85,0.165543556,31968,277.128792
AES-GCM,1000,1024,28.78023981,53.0204149,47.35,0.165543556,31968,301.188792
AES-GCM,1000,1024,26.41113556,46.23171326,49.95,0.165543556,31968,277.289417
AES-GCM,1000,1024,26.60100278,46.42543162,49.95,0.165543556,31968,279.780292
AES-GCM,1000,1024,26.12416935,45.83331483,49.95,0.165543556,31968,274.632375
AES-GCM,1000,1024,26.7079178,46.92890838,49.8,0.165543556,31968,279.281583
AES-GCM,1000,1024,29.9120351,48.92315523,45.15,0.165543556,31968,301.870375
AES-GCM,1000,1024,26.09943156,46.10930529,49.95,0.165543556,31968,276.083166
AES-GCM,1000,1024,24.47757317,43.01996314,49.9,0.165543556,31968,257.857625
AES-GCM,1000,10240,98.62205962,115.4633781,49.95,0.197428703,31968,401.259625
AES-GCM,1000,10240,105.0733281,123.7295844,49.85,0.197428703,31968,427.386041
AES-GCM,1000,10240,103.4228817,122.6642986,49.85,0.197428703,31968,423.778083
AES-GCM,1000,10240,103.3208375,121.3005617,49.95,0.197428703,31968,424.153667
AES-GCM,1000,10240,102.607247,120.608544,49.95,0.197428703,31968,420.482667
AES-GCM,1000,10240,104.5795983,122.7793894,49.8,0.197428703,31968,430.644791
AES-GCM,1000,10240,102.9865906,121.4211051,50,0.197428703,31968,421.351458
AES-GCM,1000,10240,115.5977121,135.5332074,47.2,0.197428703,31968,471.6765
AES-GCM,1000,10240,104.6020202,123.6461607,49.8,0.197428703,31968,427.267667
AES-GCM,1000,10240,100.2662342,117.9692533,49.8,0.197428703,31968,409.959041
AES-GCM,10000,128,118.9166923,293.1416119,49.95,2.446421623,319968,2181.386375
AES-GCM,10000,128,121.2778341,301.1343403,49.85,2.446421623,319968,2226.773
AES-GCM,10000,128,118.9561526,295.1324534,50,2.446421623,319968,2184.522209
AES-GCM,10000,128,119.727195,297.0448589,50,2.446421623,319968,2202.732792
AES-GCM,10000,128,119.9200227,297.8088009,50,2.446421623,319968,2206.134042
AES-GCM,10000,128,119.4482657,295.7707053,50,2.446421623,319968,2188.327792
AES-GCM,10000,128,118.9557952,294.9198271,50,2.446421623,319968,2185.19125
AES-GCM,10000,128,118.2879778,293.6412035,50,2.446421623,319968,2176.442959
AES-GCM,10000,128,117.214629,292.5103178,50,2.446421623,319968,2159.737292
AES-GCM,10000,128,117.9878789,294.2056261,50,2.446421623,319968,2176.985667
AES-GCM,10000,1024,220.2215251,394.4625989,50,2.4489851,319968,2423.85775
AES-GCM,10000,1024,246.2246768,424.1312473,48.6,2.4489851,319968,2629.3555
AES-GCM,10000,1024,224.4864959,403.0653261,50,2.4489851,319968,2475.279708
